Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
2121;9564.340119;8344.234398;35699.66829;22425.1898;35579.0431;24852.39158;8282.025401;11059.82844;14370.41903;63574.69168;49588.3379;19400.95567;21755.76115;11503.33555;63509.51313;31174.29578;17511.40157;14369.69446;60429.24433;15536.94474;3061.903707;9070.596475;20815.20157;16578.36928;17892.42374;751.1093226;14773.68567;13900.61122;8357.145333;11262.37607;28854.41474
2122;10902.59949;9276.130403;39284.50426;22947.25175;36025.9945;26570.62199;8835.191423;11268.8974;16226.98223;67224.58153;54291.05314;20292.18067;24486.59939;13910.61056;65554.13214;32136.20207;19150.5795;16285.42779;72652.64027;18158.22352;3836.736082;10837.12526;23982.37404;18516.19654;19795.02772;834.6329161;15987.39331;13957.97136;8364.729964;11494.00694;29432.85142
2123;11516.77471;9616.60826;41128.08925;23653.8141;36450.80988;27621.57947;9141.591289;11590.06768;16949.67164;69726.82185;56751.3705;21261.81747;26921.06116;15293.03786;67062.69101;33713.69088;20057.00415;17989.72227;76449.28523;19576.75156;4407.352525;11774.48665;25873.74069;19244.05785;20998.40646;898.8629298;16938.2949;14207.96128;7875.385018;11428.37498;29645.29649
2124;11838.30854;9949.752316;43508.99543;24788.23634;37240.93889;27611.73876;9285.144886;12298.31276;17175.02013;70503.42189;55966.07132;22244.74379;28866.31626;16524.0482;68258.26254;35406.09602;20760.00489;19433.50722;78853.43009;20526.30995;4308.548023;12417.29755;27798.11226;19874.57219;21294.38824;930.1583153;17880.65287;14365.37415;8036.338471;11493.78108;30294.17307
2125;11806.98331;9539.90437;43182.11026;25773.01578;36996.28208;26616.72128;8739.125387;11344.70391;17256.03903;69387.74524;53187.53173;22131.89555;27530.09255;15226.56073;67748.95374;36671.60753;20880.32775;19400.78908;73047.24253;19628.53611;3767.467777;12056.95397;28573.29228;19112.02946;20326.71563;892.0625734;18299.51304;14822.36884;8086.456278;11557.36593;30472.82979
2126;11691.03887;9621.354915;41757.95732;24948.27312;36286.51648;26818.05442;8830.666754;10929.28649;17379.77692;71219.92972;56700.86512;22822.56386;27084.05236;15576.34999;67557.70805;37429.78812;21788.4267;19696.87433;71560.13875;19506.96615;3477.899218;12199.8697;29003.64832;17643.34087;18702.67189;837.0336497;18692.22435;14330.2505;8470.799372;11733.31667;30528.64403
2127;11663.59347;9825.17193;42235.668;24566.7868;36135.90862;27418.53452;8903.662601;11121.36257;17432.89622;71239.00952;57985.12082;22819.11825;28125.18656;16171.34752;68352.65061;37010.82152;22068.96767;19693.13914;78670.50452;20164.05322;3399.277442;12635.08558;29342.38801;17619.15566;18689.32156;797.9156987;18616.08986;14126.80743;8504.915315;11703.26368;30385.14445
2128;11547.43846;9871.694165;43277.24927;24821.99118;36652.10353;27241.53167;9012.393512;11143.93107;17145.0906;71268.36351;57616.00092;22670.88946;27972.67763;16286.70615;68759.17879;36661.43438;22025.75694;19080.2359;80189.65703;20919.42111;3378.792384;12849.47297;29458.24849;17837.60437;19005.54875;801.9476946;18615.61615;14038.50777;8685.669934;11884.87062;30174.2691
2129;11709.33198;9867.240608;42946.04289;24975.70585;36872.96399;27546.12834;9146.698793;11753.29978;17140.10021;70549.06266;57370.57953;22436.21569;28148.25358;16314.99063;68112.00704;36356.61844;21788.6594;18842.26719;80118.42517;20825.93784;3499.893855;13167.75906;29115.82181;17599.42709;19454.86436;819.3037369;18517.31001;14179.3384;8619.786767;11877.1115;30291.76197
2130;11778.24215;9821.044168;43692.81801;25794.46665;37794.16692;26947.86446;9283.022151;12401.59711;16693.19583;68919.61854;54931.16491;22173.26585;28045.78571;16245.08607;67658.02358;35782.30159;21356.88094;19207.14082;79006.48805;21256.65231;4019.865481;13040.73946;28854.32978;18865.40392;20854.69311;858.8359148;18497.90319;14750.43419;8306.333357;12360.52526;30445.59862
2131;11548.58128;9477.919291;42972.46766;25800.71898;38139.61509;26290.1134;8958.283289;11717.38676;16005.2644;66547.93228;50241.42829;21280.27239;27092.38973;15458.33243;66283.18001;35363.92576;20049.00679;18187.92312;71337.6235;20271.64872;4013.751645;12426.89706;27779.10603;19201.66305;21395.71598;858.7647118;18108.76655;15029.48363;8268.803064;12540.36893;30528.62833
2132;11316.3504;9120.714859;42061.9692;25540.74003;38176.96635;25974.58079;8816.313199;11483.89791;15885.82522;66735.91806;49758.6753;21402.97491;26586.7023;14868.92853;65263.96816;34602.60109;19132.7807;17504.87231;71513.4177;19435.65397;3978.333577;11632.0198;26836.95075;18811.36149;20374.96722;846.302994;17518.52978;14774.03915;8543.225113;12540.17977;30883.96523
2133;11519.94151;9237.339096;42677.40147;26121.09273;37986.32795;26783.41615;8973.943263;11616.3851;15921.40811;69041.24121;50995.6829;23313.65041;26741.54156;16519.62073;65266.35441;35440.3179;20615.17447;19396.64922;72365.18074;20626.84672;4386.367338;11705.87576;26857.34213;19385.81682;20350.85679;858.3992733;18034.27519;14436.5837;8464.39669;12644.9969;30822.14426
2134;11385.15971;9038.73459;43074.49377;25540.24282;37643.07655;26554.48436;8526.320674;10979.76122;15887.59611;69186.15808;51343.14126;23507.97384;27093.44689;17477.1259;64391.16648;36259.36748;21512.0731;20118.36211;72022.04993;20810.15074;4174.569755;12417.11898;28712.87279;18767.45414;20351.84686;972.8900369;18605.1854;14689.58623;8627.089338;12716.34495;30698.46627
2135;10647.77902;8655.758632;41796.69003;24991.72125;37097.17424;27346.30061;7912.312317;10105.94771;15571.59779;67770.00701;50988.34054;22742.21547;27454.91665;17188.22675;63900.26822;35776.97615;21316.723;19370.54641;71368.65649;20793.76857;3830.087285;11918.12575;28229.27907;17670.93763;19538.39507;958.6944848;18146.00015;14211.31481;8241.688738;12435.46625;31002.4115
2136;9491.538409;8246.597573;39225.06693;23762.08923;35796.64479;25886.63195;7319.618386;9385.069119;14619.17509;65349.87472;49263.67562;21945.63071;26564.86619;15515.93809;62352.91362;34266.25188;20293.75346;18351.73099;69688.13474;19371.19542;3179.963569;11062.37803;26560.65852;16076.70156;18077.48978;855.897692;16895.7559;13985.97287;8124.744581;12074.8797;30995.31957
2137;8132.735931;7743.023498;35093.96762;21604.25984;34489.99867;23565.04697;6425.480406;8858.405629;13268.6728;59952.63896;42021.96437;19649.12413;21940.94356;12013.71077;61909.37301;31187.81812;19266.5761;13826.1713;75872.07854;15817.39656;3340.626004;9390.272045;21708.86636;13967.03563;16691.43071;721.1902419;15007.55456;13720.70283;8007.763522;11918.1086;29889.56465
2138;7979.132315;7361.536407;34130.07123;21493.82083;34100.56618;23801.56909;6298.503921;8565.618673;12639.44336;60111.27852;40799.36986;19278.59597;21010.4312;11725.55714;61561.67585;31403.89028;17520.21933;13388.05872;70965.0198;14795.77467;3090.330521;8913.629722;22072.23046;13344.35927;15818.63938;664.3254014;14375.41823;13492.73094;8079.663901;11847.14925;29207.06711
2139;7663.378733;7225.590554;33346.6573;21330.53904;34003.13715;23410.104;6232.419984;8463.300367;12279.74243;59490.52014;39592.91769;18940.12928;20385.10449;11512.64027;61065.22228;31444.0992;17113.32237;12911.63913;65817.0875;13942.84428;2851.184648;8506.81336;20688.60686;12720.83153;15050.47829;640.1706393;13873.25784;13255.26936;8079.555826;11844.50928;28423.7636
2140;7446.971196;7214.559548;32469.23678;21118.11197;34013.5625;23214.26478;6138.685343;8462.524635;11946.091;59144.02676;39037.98509;18629.97642;19678.68707;11229.55071;60582.79382;31088.79363;16799.72547;12644.45115;61583.12087;13221.58507;2697.125471;8217.816883;20541.95017;12246.13334;14835.90894;603.5659553;13724.71819;13176.729;7940.395929;11873.44086;28203.8071
2141;7370.710101;7077.774434;32418.55988;21061.62574;33847.98364;23082.49212;6162.821622;8541.053603;11817.98739;59019.47087;38745.9173;18629.92677;19382.47908;11083.75476;59850.96977;30843.25801;16730.47752;12482.90811;57478.78316;13005.37368;2589.96489;8152.49721;20381.30073;12083.27688;14558.01649;576.4639688;13603.6793;13078.32731;8118.178166;11851.85723;28024.93807
2142;7550.403073;7294.606249;32850.35124;21219.17443;34032.31043;23672.70342;6547.117393;9028.732394;12177.14435;59662.95278;39313.26069;18953.59527;19375.75841;11371.09159;60860.48195;30464.09882;16872.94904;12644.29451;55191.01641;12654.02036;2558.519983;8295.53995;20319.42784;11994.90461;14448.50305;580.4544321;13724.22878;13009.18738;8049.909836;11918.03255;28023.97245
2143;8094.29929;7580.851715;34635.31129;21477.89477;34702.00939;24675.57787;7390.919175;10445.39149;12762.10917;61724.15748;41796.92078;20023.49199;20337.19896;11626.52299;62151.54972;31641.04218;17691.92315;13540.19616;53788.45715;13460.90262;2689.13651;8803.921629;20845.92612;12477.90989;14836.01693;596.4271287;14205.01767;13238.77476;8149.925487;12044.23864;28024.26764
2144;9111.009227;8098.597306;38773.72097;22672.13764;35579.76332;25138.5337;7907.478042;11042.81411;13169.58695;63015.99146;44363.39122;21311.74019;21898.64928;13499.1712;64674.23634;35124.5077;18917.29028;15812.82836;54211.14179;15491.69651;3019.137077;9790.037389;21867.0854;14117.38055;15802.7534;653.581289;15641.38738;13798.60371;8589.686263;12102.32536;28351.01728
2145;9290.261104;8569.44565;38611.89431;22175.56527;35263.39424;23153.92444;7868.727531;10714.70879;13873.35091;62941.02413;48026.33951;20718.71458;22788.86845;13835.24331;63837.04769;33285.99245;19839.75919;16003.62631;51725.83772;15802.85421;3149.623757;10659.69332;23490.94408;16223.64611;17313.15513;737.7084516;15975.21907;14380.10612;8700.337542;11859.71715;28426.31984
2146;9927.51294;9243.443336;38920.51786;22034.9149;35226.51535;23930.32991;7946.187124;10793.4742;14874.20505;63089.88312;49449.5716;19929.55845;24578.53615;14338.22574;63216.76565;32855.44734;20589.98517;16721.22063;54153.34952;16977.62054;3419.108084;11382.21826;25608.4097;17892.96323;19077.46076;825.8020864;16365.04702;14401.62082;8642.324052;11624.60992;29308.38794
2147;10440.24837;9379.313995;39350.97891;21660.35048;35319.58306;24282.06618;7999.109783;10907.16162;15882.80432;64458.74615;50851.49257;19882.97447;26415.48615;15451.45177;62980.16663;33360.27809;20722.63066;17310.43921;59466.95968;17737.27507;3784.396403;12090.63254;26948.42941;18455.65439;20413.60878;885.5275739;16437.59402;14549.7271;8329.047371;11695.74974;29556.9959
2148;10628.99444;9537.310965;40498.92032;21952.23542;35329.35789;24429.27081;8047.750387;11317.91689;16107.13155;64298.82875;50982.16611;20614.51653;28072.51516;16172.95557;63842.58461;34834.71258;20938.12283;18240.74464;63782.93528;18185.06005;3802.794074;12647.95249;29308.18731;18724.58669;20892.68658;882.7802422;16322.69477;14513.7082;8416.363098;11537.37441;30044.87157
2149;10414.62596;9169.90054;38449.13074;22492.29836;34976.67286;23543.18855;7581.059628;10725.69222;15726.07597;62428.34191;48038.33658;19834.75206;26380.69639;14822.44971;62974.44932;34825.09453;20475.66006;17861.32645;63238.31767;17650.8747;3681.964562;12371.09483;28509.64727;17855.96575;20059.35144;866.3196424;16232.49523;15282.39767;8336.180247;11523.24225;30311.88305
2150;10197.35015;8908.184013;35818.12282;21825.96422;34174.6933;23664.52228;7557.101473;10414.51583;15586.09573;63474.99844;49369.22939;19587.91283;25022.04454;13657.74463;61548.91425;34148.63649;19937.79957;16399.26528;60977.16859;17082.92227;3563.304372;11816.74425;26359.76208;16782.41931;18460.75671;781.1413746;15897.00494;14540.13176;8148.597973;11465.50797;30090.53491
2151;9960.586741;9246.019677;37829.69322;21486.78775;34048.50163;23675.06894;7606.02568;10555.25265;15608.76021;64435.99093;49838.37033;19915.78959;25553.79253;14127.72766;63115.92237;33856.61728;20427.05365;15978.48931;61146.57602;17274.78507;3509.777476;11713.12403;25901.88374;16593.54241;18174.69232;789.3180435;16092.16266;14577.54562;8290.242983;11595.43942;29626.86127
2152;9944.139051;9282.996346;38943.22309;21989.5535;34276.21527;23686.70347;7681.592755;10726.94149;15648.58579;64727.1808;50688.90968;20157.22561;25979.48793;14691.08631;63844.67472;34084.06088;20536.43762;15894.50164;61146.67044;17737.56913;3507.387711;11620.76388;27066.71068;16953.40232;18361.85168;777.3551661;16284.74379;14383.04456;8186.937052;11621.87634;29547.72062
2153;10190.86844;9378.161362;40066.60564;22172.14259;34819.06943;24459.69562;8114.302561;11355.41324;16041.91949;65490.99901;51755.38384;20858.27728;26733.19424;15430.49474;64692.66445;33924.40405;20766.33075;16188.9392;62372.7935;18135.97236;3584.440615;11902.56755;27459.42146;17163.36773;19026.91816;771.8651803;16513.8638;14136.57683;8392.153358;11670.80509;29992.88764
2154;10774.31209;9598.121342;41832.87488;23669.81986;36300.41515;25385.20469;8778.574249;12324.24969;16505.50665;66485.75637;52908.34009;22075.12631;27858.04574;16658.62805;66010.6854;35326.74038;22063.82451;17630.60442;66032.07369;19228.07937;3993.66101;12490.3245;29292.59415;18236.77627;20632.53657;816.2541835;17463.79745;14841.76615;8478.832873;12156.20471;29948.01863
2155;11234.98099;9894.110979;43735.64863;24793.49081;37363.89377;26018.39985;9229.908459;12313.80457;17014.94812;66689.17889;52364.91328;22521.87654;28468.26207;17094.77009;68563.17476;37335.96415;21933.12355;18543.47632;69911.76512;20228.21372;4180.528201;12868.05343;28731.37561;19000.90946;21367.05001;847.3896996;17646.41823;15352.04949;8539.376038;12525.86287;30120.47377
2156;11642.96795;9866.56644;42631.1675;26121.16673;38226.94977;25874.36336;8944.748524;11794.47501;17050.20141;67008.29063;52370.13673;23325.94301;28447.09594;17367.03036;67234.16289;37414.07894;21855.99544;19729.01025;73891.38808;21124.68213;4384.24443;12936.89534;29445.37651;19701.23423;20687.80068;861.6705506;18673.13268;15479.19262;8395.447464;12780.82303;30589.28402
2157;11357.19662;9639.120123;40956.23148;24804.41362;37891.9546;25751.66624;8765.049511;11421.79546;16665.33643;66524.54994;51501.67119;22845.42151;27770.69627;16756.77001;65166.3441;36108.03233;21287.39807;18689.44535;70960.06955;20561.34349;4217.353986;12701.8271;29300.38619;18961.97923;20318.76566;950.3183394;18595.76834;15442.95084;8557.114507;12832.20215;30910.06256
2158;11146.0978;9483.777025;40642.4969;24515.92463;37418.0722;25427.63252;8346.179575;10936.42482;16308.69127;66552.04176;50557.84467;22469.17901;27248.55737;16087.0121;64437.32816;35523.00645;20557.96912;17645.0197;70094.61448;19545.96453;4074.69413;12146.80315;28266.83134;18152.68176;19635.49625;991.9405787;18076.11991;14762.02831;8523.378533;12640.33646;30885.86134
2159;10413.83258;9001.032324;39365.68275;23527.31004;36999.13253;27327.76595;7736.096391;10039.72736;15632.09423;65910.36159;50203.24303;21419.58074;27181.88094;14923.52977;63965.43716;33867.40943;20000.0217;16702.61886;67973.85038;18754.97176;3807.345955;11328.26152;26108.59179;17122.48879;18686.90081;930.0855966;17119.01317;14214.75429;8325.408463;12453.0296;30909.92124
2160;9176.226308;8515.420879;37458.54397;22482.2104;36201.53596;26155.40805;7007.034398;9319.33819;14714.58576;63993.65624;48641.72458;21184.0233;25177.25825;13478.21159;62351.41177;32918.46869;19095.84448;15846.62705;63266.00525;17092.57365;3484.787426;10428.69948;23328.95481;15813.89568;17273.69941;829.3033625;15996.29302;14174.43383;8154.552762;12354.01968;30189.96723
2161;7969.001046;7678.77937;35011.93337;21389.76773;34374.22105;23251.61126;6365.530029;8776.241757;13106.88062;58966.28783;41578.71586;19576.67394;21987.09771;11951.45548;61865.92863;30994.08009;19315.57251;13736.86349;72077.39295;15761.46787;3331.746852;9238.677243;21737.65005;13662.60101;16741.78024;728.735794;15100.11983;13571.23953;8030.361131;11884.66256;29796.3504
2162;7816.333346;7315.552627;34053.71567;21275.68084;33982.32655;23499.15797;6237.021684;8476.082712;12464.98789;59103.59884;40394.91015;19201.4158;21072.97305;11662.30343;61525.3617;31226.58519;17603.4275;13305.19434;67763.84316;14755.72417;3085.923415;8777.083846;22094.33983;13037.03041;15868.86834;669.7748443;14467.96885;13392.16088;8100.747669;11817.17518;29082.86838
2163;7502.503672;7186.113989;33271.63225;21107.00576;33885.50953;23089.44621;6170.140502;8371.188132;12098.04796;58566.29932;39226.73463;18858.6284;20458.65926;11448.64884;61039.0889;31269.85213;17204.50179;12835.78156;63238.55348;13916.05015;2851.050379;8383.11181;20736.13082;12410.60448;15100.60113;644.7297074;13965.79682;13205.6278;8100.641869;11814.66438;28264.00393
2164;7287.41472;7175.610997;32395.08151;20887.56208;33890.24911;22884.47868;6075.275035;8370.392867;11757.68178;58266.39081;38689.40817;18544.51627;19764.6829;11164.57842;60566.55358;30887.52448;16897.04838;12572.52319;59516.68529;13206.00085;2699.743788;8103.239758;20592.16794;11933.69986;14886.00215;606.7757291;13817.25372;13143.93202;7964.411944;11842.18037;28034.06171
2165;7211.618289;7045.37327;32349.83084;20829.21008;33723.84596;22746.56393;6099.702497;8450.899117;11627.00008;58158.58104;38406.6067;18544.46599;19473.69157;11018.2773;59849.73704;30623.31513;16829.15702;12413.35599;55908.7674;12993.14985;2594.497853;8039.982408;20434.46933;11770.08643;14608.07131;578.6747295;13696.21203;13066.63459;8138.451027;11821.6528;27847.07226
2166;7390.21638;7251.826163;32783.91727;20991.9627;33907.95544;23364.28572;6488.634459;8950.857182;11993.38509;58715.54898;38955.95021;18872.26629;19467.08926;11306.60971;60838.54718;30215.31972;16968.83746;12572.36884;53897.70613;12647.25731;2563.614773;8178.508891;20373.73294;11681.3034;14498.54274;582.8122862;13816.7643;13012.32313;8071.620066;11884.59024;27846.0628
2167;7930.798602;7524.370138;34569.06165;21259.22874;34560.22563;24413.90537;7342.615969;10403.18637;12590.12237;60499.63166;41360.81215;19955.8208;20411.59742;11562.92614;62103.13903;31481.77323;17771.76758;13455.09425;52664.78647;13441.5989;2691.897566;8670.839544;20890.56042;12166.55372;14886.11015;599.3737564;14297.56433;13192.6708;8169.529917;12004.6212;27846.37139
2168;8941.313658;8017.3332;38683.8122;22492.91822;35428.8634;24898.44015;7865.406666;11015.6515;13005.80066;61617.78292;43845.85714;21260.51417;21945.54829;13442.06281;64574.09296;35230.16699;18973.12933;15694.30231;53036.34738;15440.82989;3016.00199;9625.820881;21892.96291;13813.64473;15852.98016;658.6346906;15733.96734;13632.43297;8600.031659;12059.8658;28187.95503
2169;9119.473342;8465.64381;38517.76176;21979.94374;35120.00991;22821.32581;7826.188663;10679.28481;13723.72791;61552.8947;47392.59245;20659.91827;22820.08938;13779.29936;63754.07252;33251.82701;19877.52674;15882.29415;50851.64094;15747.15153;3144.157255;10468.01935;23486.99431;15929.70035;17363.59054;745.8628855;16067.80678;14089.22028;8708.353207;11829.12815;28266.67623
2170;9752.84236;9107.379768;38823.45859;21834.6476;35085.2812;23633.92049;7904.582739;10760.03346;14744.7243;61681.7401;48770.67019;19860.68815;24578.23839;14284.02454;63146.5106;32788.53762;20613.05552;16589.33465;52985.54509;16903.65947;3408.826687;11167.73217;25565.56602;17606.77655;19128.1399;837.2037619;16457.64375;14106.12071;8651.561174;11605.52446;29188.78904
2171;10262.45366;9236.746811;39247.96453;21447.71108;35173.24925;24002.05162;7958.143863;10876.58342;15773.62169;62866.56412;50128.11294;19813.5095;26382.83698;15401.10774;62914.76351;33331.7623;20743.10244;17169.88744;57656.47388;17651.50734;3767.588374;11853.77983;26880.97205;18172.08314;20464.47248;899.1308056;16530.19244;14222.46256;8344.880443;11673.18348;29448.68347
2172;10450.04969;9387.181062;40398.57053;21749.23716;35172.41741;24156.11764;8007.371273;11297.6811;16002.46352;62728.14707;50254.64065;20554.39008;28010.68326;16125.11145;63759.49589;34918.33206;20954.37304;18086.51065;61450.43206;18092.33278;3785.657332;12393.50364;29197.38558;18442.26545;20943.61646;896.2822038;16415.29053;14194.16866;8430.357762;11522.55729;29958.70804
2173;10236.98737;9037.357188;38332.75738;22307.13873;34827.39223;23228.73399;7535.0503;10690.54479;15613.73918;61109.14088;47404.2089;19764.67151;26348.65992;14769.92628;62909.16344;34907.98252;20500.97008;17712.67266;60971.68598;17566.44982;3666.98669;12125.38714;28413.51324;17569.60711;20110.16621;879.2148457;16325.0889;14797.99692;8351.863137;11509.1166;30237.84149
2174;10021.03544;8788.168044;35717.30898;21618.79515;34034.30617;23355.72323;7510.80311;10371.53329;15470.94183;62015.07796;48692.87697;19514.68125;25013.93594;13601.18567;61512.8618;34180.07778;19973.64647;16272.11437;58984.02297;17007.32459;3550.44661;11588.53896;26303.11745;16491.07076;18511.35065;790.8968004;15989.59083;14214.92514;8168.230354;11454.20719;30006.44443
2175;9785.714641;9109.832789;37730.31473;21268.41545;33908.18063;23366.76149;7560.317545;10515.81373;15494.06244;62846.86826;49147.13365;19846.74352;25536.31906;14072.79712;63047.73531;33865.84961;20453.31589;15857.52684;59132.94056;17196.20542;3497.876083;11488.19032;25853.64948;16301.31595;18225.24674;799.3748715;16184.75308;14244.31483;8306.893069;11577.78123;29521.72064
2176;9769.367168;9145.039525;38834.7234;21787.78789;34138.25666;23378.93832;7636.79627;10691.82552;15534.68951;63098.90864;49970.68826;20091.2616;25954.51734;14638.10772;63761.54314;34110.59099;20560.55699;15774.7744;59133.02356;17651.79683;3495.529016;11398.74623;26997.08071;16662.84851;18412.43196;786.9710275;16377.33867;14091.52851;8205.762215;11602.92462;29438.98711
2177;10014.59321;9235.64935;39966.45837;21976.40801;34680.96125;24187.96059;8074.72634;11336.12157;15935.93907;63760.03406;51003.32679;20801.26257;26694.94976;15380.0781;64592.14316;33938.79177;20785.94643;16064.8816;60210.84699;18044.00801;3571.20521;11671.65257;27382.57812;16873.78985;19077.59031;781.278674;16606.46399;13897.92083;8406.657751;11649.45934;29904.36411
2178;10594.48191;9445.080675;41733.95188;23523.55452;36148.89213;25156.60877;8747.011883;12329.35238;16408.85595;64621.04965;52119.70363;22033.64531;27799.99096;16612.46671;65883.13548;35447.78008;22058.02181;17485.34391;63427.53709;19119.14134;3973.114036;12240.8524;29182.07884;17952.18765;20683.43052;827.3039114;17556.41966;14451.86786;8491.512254;12111.10889;29857.45811
2179;11052.34393;9726.902405;43634.55302;24684.34104;37189.85956;25819.31794;9203.791044;12318.64426;16928.54996;64797.1227;51593.51792;22486.09854;28399.46048;17050.11992;68383.28097;37609.81148;21929.88134;18384.78998;66837.97968;20103.73146;4156.642458;12606.65537;28631.16885;18719.87258;21418.04543;859.5871215;17739.04467;14852.71049;8550.7807;12462.68009;30037.74249
2180;11457.84499;9700.676319;42542.53219;26055.87094;38077.04699;25668.56773;8915.190905;11786.23849;16964.51272;65073.33095;51598.57565;23300.42935;28378.66712;17323.32354;67081.52312;37693.86715;21854.2642;19552.88799;70336.26709;20986.26683;4356.718875;12673.32376;29332.05487;19423.4525;20738.70227;874.3943825;18765.78292;14952.58517;8409.8825;12705.16532;30527.83609
2181;11173.81489;9484.116999;40878.66228;24695.62464;37746.14497;25540.15155;8733.323981;11404.17523;16571.90231;64654.62756;50757.66359;22813.77374;27714.17984;16710.94872;65056.10907;36288.49169;21296.80585;18528.61221;67759.49165;20431.68368;4192.810274;12445.67728;29189.72775;18680.7614;20369.61627;966.3098397;18688.41679;14924.11618;8568.145691;12754.03052;30863.17755
2182;10964.0023;9336.209589;40558.809;24397.60667;37273.95843;25201.01421;8309.400747;10906.58343;16208.07965;64678.4232;49843.78149;22432.7283;27201.23659;16038.87019;64342.04305;35658.97279;20581.66668;17499.54718;66998.7134;19432.08588;4052.699332;11908.17698;28175.15739;17867.70227;19686.25247;1009.466327;18168.75631;14389.23143;8535.120019;12571.55261;30837.87762
2183;10236.19883;8876.572057;39279.07656;23376.3375;36858.65715;27189.71521;7691.957445;9987.308012;15517.86605;64123.01476;49500.43017;21369.73135;27135.73443;14871.35657;63879.82911;33877.46253;20034.64964;16571.00646;65134.45581;18653.38684;3790.127885;11115.47899;26056.56069;16832.72091;18737.52599;945.3312927;17211.62739;13959.33153;8341.31815;12393.41047;30863.02981
2184;9006.133368;8414.205001;37379.43427;22296.71755;36065.86481;25962.71226;6954.099959;9248.780148;14581.89267;62464.00398;47988.45343;21131.1669;25166.41611;13421.03057;62298.90252;32856.35194;19148.18559;15727.60391;60996.02474;17016.82596;3473.332532;10244.31863;23327.98049;15518.04537;17324.12937;840.8340994;16088.88122;13927.65862;8174.059767;12299.24499;30110.39085
2185;7993.147173;7341.828634;34964.89159;22094.40289;34344.03208;24257.16695;6623.756306;8769.09629;12964.31727;60983.64068;44212.89436;20862.53734;22950.52668;13592.28945;63665.92524;33600.69694;19463.79579;18227.94766;64691.87294;15801.89305;4162.944397;10912.25343;23216.06275;13357.80755;16150.32396;758.1202692;16164.50186;13442.15867;8235.859828;11798.83233;29515.00191
2186;7821.89955;7191.888756;34197.14654;22026.33777;34023.60753;23460.05325;6370.700872;8556.776605;12468.70493;60222.86332;42458.14381;20138.49174;22677.47594;13815.28118;62627.22828;33368.3867;19009.94531;15419.22793;61111.13673;14724.53019;3691.477157;10086.35865;22049.00965;12338.90058;15634.67981;689.5544508;15315.09885;12960.32998;8214.999186;11639.1716;29084.61352
2187;7458.267699;7059.203117;33036.00205;21227.41396;33827.21199;22820.39011;6242.281694;8384.669348;11972.52343;59201.94066;40562.0771;19586.94299;21606.94481;12777.74391;61717.26826;32375.51158;18497.68835;14352.45699;58071.89759;14188.72163;3238.352583;9349.430327;21247.40826;11668.21748;15199.50073;667.4035828;14765.00679;12998.79333;8164.331896;11639.17324;28458.90188
2188;7241.982853;6918.714363;32855.13709;21057.87823;33474.03058;22571.96494;6054.359758;8324.817921;11606.80949;57992.31519;38916.26913;19009.37122;20874.50467;12083.2717;60523.54057;31430.37598;17811.59698;13630.68787;55762.01619;13341.72471;2900.485064;8726.914573;20441.64684;11473.33647;14782.79915;636.1692615;14300.82302;13029.64886;8067.651598;11560.3383;28088.37529
2189;7113.531977;6917.060235;32400.26095;20769.60965;33438.85831;22588.93569;6190.751818;8417.42638;11437.74434;57234.87742;37949.29183;18562.54795;20008.81829;11500.59062;59860.63474;30571.19788;17269.0717;12932.33338;52643.46681;12790.22445;2632.874028;8339.426569;19977.27967;11400.60163;14808.70373;627.2191551;13861.45347;12899.70533;8146.275449;11447.61467;27942.90898
2190;7169.638881;6842.775893;32185.63304;20890.82878;33734.02227;22603.41853;6655.117303;9241.981833;11434.65299;57108.76352;37796.14359;18320.92188;19390.7811;11027.76742;59851.49565;30211.00415;16970.51926;12402.54018;51180.22376;12520.26889;2542.145508;8069.936796;20088.2915;11596.45169;14565.21606;600.3992065;13624.29018;12722.05044;8193.14445;11446.01863;27816.20003
2191;7200.80724;7061.626766;33519.48805;21426.7387;34682.47384;23968.23008;7613.769581;10560.88925;11569.0055;57985.42169;38749.08257;18489.58185;20012.8744;11274.2021;61072.71648;30561.4079;16775.49067;12402.42221;50544.00089;12998.14949;2632.556318;7935.143911;20043.88374;11990.29891;15101.93768;623.3173112;13704.7423;13077.31179;8199.676837;11573.24277;27949.14088
2192;8158.749971;7508.585288;34826.54675;22699.52062;35384.03317;24595.85799;7908.269919;10920.52143;12243.59438;58629.68717;41480.0009;18563.10469;20020.25161;11143.23149;62009.75792;31273.12013;16872.30527;13092.06638;51700.49796;14396.94136;2791.082372;7977.211971;20004.54765;13723.66245;16449.38417;671.1281923;14230.61203;13739.17259;8557.042775;11629.25897;28047.48635
2193;9308.248287;8155.706128;35898.50243;22308.51079;35167.8341;24350.969;8196.761304;10958.06988;13875.72495;61978.30727;49241.09004;19238.54238;21538.92429;11581.41617;63508.76401;31412.64938;17486.21333;14049.97158;60057.00161;15358.71692;3055.09571;8758.857698;20568.53899;15948.19822;18064.25945;776.5949479;14770.75089;13783.106;8423.029044;11363.23264;28585.08432
