Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
17;15231.13607;10105.19845;45568.03082;23765.78549;36253.80355;25370.15457;9439.112183;12957.06305;18030.24007;63875.80253;45142.71131;22064.91754;24726.56449;16667.42945;65186.08687;37217.31254;23399.84545;19587.79907;44490.85131;18743.43432;3239.697623;12536.16394;28564.71413;20417.44986;20395.78942;798.6383747;19374.32505;14501.22794;8881.396733;9095.111709;31266.59984
18;15799.29202;10338.55929;47592.85156;25490.43683;37699.24688;26289.43743;10088.34164;13971.47746;18619.69831;65758.4271;46172.74197;24024.52287;25833.24604;18310.85794;67543.97499;40353.98304;25385.57076;21881.6468;47356.82554;19878.00648;3699.25528;13264.53026;30690.62107;21761.58963;22280.71435;838.8927819;20776.311;15311.17269;8973.43217;9607.755576;31230.87177
19;16247.89022;10652.58183;49731.23626;26784.40091;38695.33547;26918.37287;10529.45552;13960.54096;19267.46101;66143.41369;45687.2541;24743.96637;26433.60544;18894.48209;72110.27897;44848.10675;25185.54191;23334.12627;50395.42744;20917.02975;3909.108576;13732.62345;30039.78311;22718.44973;23143.00062;867.1281928;21045.83695;15897.2583;9037.716294;9998.161722;31368.1935
20;16645.18687;10623.35916;48627.6693;28313.28706;39640.69119;26775.30537;10250.75295;13416.78005;19312.28611;66747.3475;45691.92064;26038.8295;26412.78121;19258.8076;69732.72852;45022.82972;25067.50261;25220.44098;53512.29641;21848.35616;4137.88347;13817.93444;30867.80082;23595.40789;22345.59197;880.0788596;22561.14199;16043.28846;8884.894381;10267.43214;31741.4954
21;16366.90348;10382.05589;46857.86427;26796.97908;39317.23812;26653.43367;10075.12317;13026.56816;18822.92434;65831.84574;44916.04894;25265.00098;25747.30755;18442.18676;66033.48131;42101.53488;24197.30328;23566.37903;51216.46691;21263.11283;3950.464216;13526.63072;30699.65739;22669.70066;21912.36119;960.4695855;22446.96168;16001.66298;9056.550822;10321.69505;31996.92335
22;16161.33599;10217.24865;46425.65775;26464.76937;38846.45504;26331.57983;9665.738413;12518.36373;18369.44452;65883.87529;44072.85106;24659.10263;25233.60286;17545.94917;64729.30021;40792.98044;23080.96226;21904.5831;50538.63635;20208.25219;3790.256098;12838.82814;29501.05705;21656.2851;21110.23315;998.214938;21680.02411;15219.58983;9020.730304;10119.06042;31977.65252
23;15448.25799;9705.093167;44936.94381;25326.32953;38437.16663;28218.93043;9069.470379;11579.48203;17509.14092;64669.46572;43756.05626;22968.83677;25168.00347;15989.03349;63885.1056;37089.83003;22227.06195;20405.11985;48877.63885;19386.5027;3490.022038;11824.46642;26998.17424;20366.26059;19996.6241;942.1214135;20267.45156;14591.01861;8810.527674;9921.240504;31996.81082
24;14243.08016;9189.896286;42859.04117;24122.8443;37651.08644;27054.45937;8356.917774;10825.20287;16342.51474;61042.01173;42361.02338;22589.49669;23195.76184;14054.97872;60997.6771;34967.29041;20843.28067;19043.14284;45190.42109;17659.46442;3127.786325;10709.70175;23774.66478;18727.61884;18337.5882;850.7265004;18610.45384;14544.70857;8629.114809;9816.673402;31423.5294
25;13512.03456;8353.207829;40269.35639;24284.61812;36114.11999;26033.87206;8114.377824;10415.504;14640.70425;59699.04095;40390.58052;22893.4235;21541.99766;14337.69389;63608.58336;37210.47402;22003.52942;23922.57799;55408.24543;16382.32096;3990.270292;11937.38188;24316.81764;16471.75201;16960.32464;774.2412252;19112.58052;14202.74594;8678.609525;9505.586597;30942.11301
26;13337.78272;8170.714374;39452.45214;24203.00995;35803.21311;25238.59151;7844.45944;10182.83812;13951.64308;58569.29969;38791.92669;21702.91994;21266.31875;14641.72096;61675.86914;36738.67238;21228.92946;19112.32841;51437.52542;15249.24486;3448.453614;10787.10318;22863.84451;15219.59729;16345.34657;703.4809698;17794.79039;13549.15293;8654.52145;9345.538467;30627.12235
