strategy,total_pnl,sharpe,win_rate,max_drawdown,profit_factor,volatility,oracle_gap,baseline_delta,rank,status
baseline_persistence,4051823.1529161427,2.5488313102521105,0.48771619496855345,-4321051.341959741,1.0846463437844378,14621.244619608113,0.9691835522955328,0.0,5.0,ok
baseline_mean,0.0,0.0,0.0,0.0,inf,0.0,1.0,-4051823.1529161427,6.0,ok
oracle,131482485.968971,101.1481709496822,1.0,0.0,inf,11955.970304313047,0.0,127430662.81605485,1.0,ok
rl_ppo,20342316.938842922,31.484145617938594,0.6558569182389937,-422197.0941358153,3.464712379565658,5942.695239897546,0.845284968648649,16290493.78592678,2.0,ok
rl_sac,11477065.237238968,6.047100227942516,0.5192610062893082,-880434.8620968722,1.1926938287180622,17456.558900424778,0.9127103115471403,7425242.084322825,4.0,ok
rl_td3,17237199.465849053,9.106067234154011,0.5473663522012578,-465587.2814049944,1.3041718788186554,17410.48259910121,0.868901174640728,13185376.31293291,3.0,ok
